year,prefecture_code,prefecture_name,analysis_population_n,scene_stay_ge30_n,scene_stay_ge30_share_reported_pct,scene_stay_ge45_n,scene_stay_ge60_n,source_pdf_filename,source_pdf_page,extraction_method,double_check_status,scene_stay_ge30_share_calculated_pct,rounding_difference_pp
2015,46,鹿児島県,5929,176,3.0,50,17,2015_fdma_acceptance_friction.pdf,10,pdftotext_layout_plus_render_review,checked,2.968460111317254,-0.03153988868274604
2015,47,沖縄県,6912,161,2.3,23,4,2015_fdma_acceptance_friction.pdf,10,pdftotext_layout_plus_render_review,checked,2.3292824074074074,0.029282407407407618
2016,1,北海道,21481,839,3.9,193,71,2016_fdma_acceptance_friction.pdf,9,pdftotext_layout_plus_render_review,checked,3.905777198454448,0.005777198454448129
2016,2,青森県,7098,202,2.8,35,11,2016_fdma_acceptance_friction.pdf,9,pdftotext_layout_plus_render_review,checked,2.8458720766413075,0.04587207664130766
2016,3,岩手県,6963,270,3.9,51,16,2016_fdma_acceptance_friction.pdf,9,pdftotext_layout_plus_render_review,checked,3.877638948728996,-0.022361051271003962
2016,4,宮城県,9388,796,8.5,176,54,2016_fdma_acceptance_friction.pdf,9,pdftotext_layout_plus_render_review,checked,8.478909245845761,-0.021090754154238667
2016,5,秋田県,7050,62,0.9,18,7,2016_fdma_acceptance_friction.pdf,9,pdftotext_layout_plus_render_review,checked,0.8794326241134752,-0.020567375886524797
2016,6,山形県,6044,233,3.9,40,13,2016_fdma_acceptance_friction.pdf,9,pdftotext_layout_plus_render_review,checked,3.85506287227002,-0.04493712772997993
2016,7,福島県,8565,514,6.0,126,34,2016_fdma_acceptance_friction.pdf,9,pdftotext_layout_plus_render_review,checked,6.001167542323409,0.0011675423234089877
2016,8,茨城県,9794,580,5.9,125,59,2016_fdma_acceptance_friction.pdf,9,pdftotext_layout_plus_render_review,checked,5.921993056973657,0.021993056973657055
2016,9,栃木県,7434,370,5.0,90,33,2016_fdma_acceptance_friction.pdf,9,pdftotext_layout_plus_render_review,checked,4.977132095776164,-0.022867904223836
2016,10,群馬県,8998,279,3.1,56,25,2016_fdma_acceptance_friction.pdf,9,pdftotext_layout_plus_render_review,checked,3.1006890420093356,0.0006890420093355054
2016,11,埼玉県,24314,3232,13.3,881,308,2016_fdma_acceptance_friction.pdf,9,pdftotext_layout_plus_render_review,checked,13.292753146335444,-0.007246853664556241
2016,12,千葉県,18413,1992,10.8,501,179,2016_fdma_acceptance_friction.pdf,9,pdftotext_layout_plus_render_review,checked,10.818443491011784,0.018443491011783664
2016,13,東京都,40436,1716,4.2,444,138,2016_fdma_acceptance_friction.pdf,9,pdftotext_layout_plus_render_review,checked,4.243743199129488,0.0437431991294881
2016,14,神奈川県,32340,2640,8.2,550,188,2016_fdma_acceptance_friction.pdf,9,pdftotext_layout_plus_render_review,checked,8.16326530612245,-0.03673469387755013
2016,15,新潟県,10773,999,9.3,241,82,2016_fdma_acceptance_friction.pdf,9,pdftotext_layout_plus_render_review,checked,9.273182957393484,-0.02681704260651685
2016,16,富山県,3750,35,0.9,14,6,2016_fdma_acceptance_friction.pdf,9,pdftotext_layout_plus_render_review,checked,0.9333333333333333,0.033333333333333326
2016,17,石川県,5268,87,1.7,20,8,2016_fdma_acceptance_friction.pdf,9,pdftotext_layout_plus_render_review,checked,1.6514806378132119,-0.048519362186788095
2016,18,福井県,3344,42,1.3,9,6,2016_fdma_acceptance_friction.pdf,9,pdftotext_layout_plus_render_review,checked,1.255980861244019,-0.04401913875598096
2016,19,山梨県,3582,177,4.9,36,16,2016_fdma_acceptance_friction.pdf,9,pdftotext_layout_plus_render_review,checked,4.941373534338358,0.041373534338357665
2016,20,長野県,8776,259,3.0,42,21,2016_fdma_acceptance_friction.pdf,9,pdftotext_layout_plus_render_review,checked,2.9512306289881494,-0.04876937101185064
2016,21,岐阜県,9012,155,1.7,34,15,2016_fdma_acceptance_friction.pdf,9,pdftotext_layout_plus_render_review,checked,1.7199289835774523,0.01992898357745232
2016,22,静岡県,9257,381,4.1,83,29,2016_fdma_acceptance_friction.pdf,9,pdftotext_layout_plus_render_review,checked,4.115804256238523,0.015804256238522996
2016,23,愛知県,18715,206,1.1,63,28,2016_fdma_acceptance_friction.pdf,9,pdftotext_layout_plus_render_review,checked,1.100721346513492,0.0007213465134918717
2016,24,三重県,8419,323,3.8,87,31,2016_fdma_acceptance_friction.pdf,9,pdftotext_layout_plus_render_review,checked,3.836560161539375,0.03656016153937536
2016,25,滋賀県,3032,56,1.8,17,7,2016_fdma_acceptance_friction.pdf,9,pdftotext_layout_plus_render_review,checked,1.8469656992084433,0.04696569920844329
2016,26,京都府,7290,216,3.0,35,15,2016_fdma_acceptance_friction.pdf,9,pdftotext_layout_plus_render_review,checked,2.962962962962963,-0.0370370370370372
2016,27,大阪府,13762,712,5.2,136,50,2016_fdma_acceptance_friction.pdf,9,pdftotext_layout_plus_render_review,checked,5.173666618224095,-0.026333381775905274
2016,28,兵庫県,15727,826,5.3,164,54,2016_fdma_acceptance_friction.pdf,9,pdftotext_layout_plus_render_review,checked,5.252114198512113,-0.04788580148788668
2016,29,奈良県,3550,441,12.4,107,38,2016_fdma_acceptance_friction.pdf,9,pdftotext_layout_plus_render_review,checked,12.422535211267606,0.022535211267605604
2016,30,和歌山県,4573,119,2.6,27,10,2016_fdma_acceptance_friction.pdf,9,pdftotext_layout_plus_render_review,checked,2.6022304832713754,0.0022304832713753164
2016,31,鳥取県,2207,25,1.1,3,1,2016_fdma_acceptance_friction.pdf,9,pdftotext_layout_plus_render_review,checked,1.1327594019030358,0.03275940190303572
2016,32,島根県,3061,79,2.6,12,3,2016_fdma_acceptance_friction.pdf,9,pdftotext_layout_plus_render_review,checked,2.5808559294348252,-0.019144070565174864
2016,33,岡山県,9804,373,3.8,83,34,2016_fdma_acceptance_friction.pdf,9,pdftotext_layout_plus_render_review,checked,3.8045695634434926,0.004569563443492797
2016,34,広島県,9957,735,7.4,176,61,2016_fdma_acceptance_friction.pdf,9,pdftotext_layout_plus_render_review,checked,7.38174148840012,-0.018258511599880123
2016,35,山口県,4188,157,3.7,45,12,2016_fdma_acceptance_friction.pdf,9,pdftotext_layout_plus_render_review,checked,3.748806112702961,0.04880611270296065
2016,36,徳島県,3756,139,3.7,28,13,2016_fdma_acceptance_friction.pdf,9,pdftotext_layout_plus_render_review,checked,3.7007454739084134,0.0007454739084131745
2016,37,香川県,4071,130,3.2,47,25,2016_fdma_acceptance_friction.pdf,9,pdftotext_layout_plus_render_review,checked,3.1933185949398184,-0.006681405060181778
2016,38,愛媛県,6383,124,1.9,28,15,2016_fdma_acceptance_friction.pdf,9,pdftotext_layout_plus_render_review,checked,1.9426601911326962,0.04266019113269626
2016,39,高知県,5533,192,3.5,37,11,2016_fdma_acceptance_friction.pdf,9,pdftotext_layout_plus_render_review,checked,3.47008855955178,-0.029911440448219917
2016,40,福岡県,11748,154,1.3,49,27,2016_fdma_acceptance_friction.pdf,9,pdftotext_layout_plus_render_review,checked,1.3108614232209739,0.010861423220973832
2016,41,佐賀県,3452,122,3.5,29,13,2016_fdma_acceptance_friction.pdf,9,pdftotext_layout_plus_render_review,checked,3.5341830822711473,0.0341830822711473
2016,42,長崎県,5680,265,4.7,65,27,2016_fdma_acceptance_friction.pdf,9,pdftotext_layout_plus_render_review,checked,4.665492957746479,-0.03450704225352119
2016,43,熊本県,7415,181,2.4,47,32,2016_fdma_acceptance_friction.pdf,9,pdftotext_layout_plus_render_review,checked,2.4409979770734997,0.040997977073499836
2016,44,大分県,6156,141,2.3,34,9,2016_fdma_acceptance_friction.pdf,9,pdftotext_layout_plus_render_review,checked,2.290448343079922,-0.009551656920077978
2016,45,宮崎県,6142,264,4.3,53,21,2016_fdma_acceptance_friction.pdf,9,pdftotext_layout_plus_render_review,checked,4.29827417779225,-0.0017258222077494167
